Fisch,Name wissenschaftlich,Einzugsgebiet,Gefährdungsstatus,Kritische Temperatur °C,Minimale Temperatur °C,Kritischer O2-Grenzwert (mg/l),See,year,temperature_avg,temperature_min,temperature_max,scenario,depth,überlebt
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2014,9.12,8.34,9.95,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2015,8.93,8.7,9.59,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2016,9.43,8.35,10.39,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2017,8.71,7.96,9.32,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2018,9.24,8.46,9.81,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2019,9.01,8.34,9.59,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2020,9.71,8.68,10.69,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2021,9.19,8.57,9.65,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2022,9.31,8.33,9.71,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2023,9.37,8.94,10.11,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2024,9.08,8.26,9.93,RCP45,surface,True
